vout	abs(1/d(I(Vout)))
3.220000000000002e-001	4.352364e+003
3.230000000000002e-001	4.360096e+003
3.240000000000002e-001	4.367856e+003
3.250000000000002e-001	4.375365e+003
3.260000000000002e-001	4.382620e+003
3.270000000000002e-001	4.389899e+003
3.280000000000002e-001	4.396921e+003
3.290000000000002e-001	4.403683e+003
3.300000000000002e-001	4.410466e+003
3.310000000000002e-001	4.417270e+003
3.320000000000002e-001	4.423811e+003
3.330000000000002e-001	4.430085e+003
3.340000000000002e-001	4.436377e+003
3.350000000000002e-001	4.442687e+003
3.360000000000002e-001	4.448438e+003
3.370000000000002e-001	4.454205e+003
3.380000000000002e-001	4.460276e+003
3.390000000000003e-001	4.466074e+003
3.400000000000003e-001	4.471304e+003
3.410000000000003e-001	4.476839e+003
3.420000000000003e-001	4.482095e+003
3.430000000000003e-001	4.487363e+003
3.440000000000003e-001	4.492644e+003
3.450000000000003e-001	4.497642e+003
3.460000000000003e-001	4.502652e+003
3.470000000000003e-001	4.507377e+003
3.480000000000003e-001	4.512113e+003
3.490000000000003e-001	4.516858e+003
3.500000000000003e-001	4.521613e+003
3.510000000000003e-001	4.526080e+003
3.520000000000003e-001	4.530258e+003
3.530000000000003e-001	4.534742e+003
3.540000000000003e-001	4.539235e+003
3.550000000000003e-001	4.543136e+003
3.560000000000003e-001	4.547345e+003
3.570000000000003e-001	4.551562e+003
3.580000000000003e-001	4.555484e+003
3.590000000000003e-001	4.559413e+003
3.600000000000003e-001	4.563046e+003
3.610000000000003e-001	4.566989e+003
3.620000000000003e-001	4.570634e+003
3.630000000000003e-001	4.574285e+003
3.640000000000003e-001	4.577941e+003
3.650000000000003e-001	4.581298e+003
3.660000000000003e-001	4.584966e+003
3.670000000000003e-001	4.588334e+003
3.680000000000003e-001	4.591706e+003
3.690000000000003e-001	4.595084e+003
3.700000000000003e-001	4.598158e+003
3.710000000000003e-001	4.601545e+003
3.720000000000003e-001	4.604629e+003
3.730000000000003e-001	4.607716e+003
3.740000000000003e-001	4.610808e+003
3.750000000000003e-001	4.613594e+003
3.760000000000003e-001	4.616693e+003
3.770000000000003e-001	4.619797e+003
3.780000000000003e-001	4.622594e+003
3.790000000000003e-001	4.625394e+003
3.800000000000003e-001	4.628198e+003
3.810000000000003e-001	4.630693e+003
3.820000000000003e-001	4.633503e+003
3.830000000000003e-001	4.636003e+003
3.840000000000003e-001	4.638820e+003
3.850000000000003e-001	4.641640e+003
3.860000000000003e-001	4.643835e+003
3.870000000000003e-001	4.646347e+003
3.880000000000003e-001	4.648862e+003
3.890000000000003e-001	4.651379e+003
3.900000000000003e-001	4.653584e+003
3.910000000000003e-001	4.655791e+003
3.920000000000003e-001	4.658316e+003
3.930000000000003e-001	4.660844e+003
3.940000000000003e-001	4.663057e+003
3.950000000000003e-001	4.664957e+003
3.960000000000003e-001	4.667174e+003
3.970000000000003e-001	4.669712e+003
3.980000000000003e-001	4.671934e+003
3.990000000000003e-001	4.673840e+003
4.000000000000003e-001	4.675749e+003
4.010000000000003e-001	4.677977e+003
4.020000000000003e-001	4.679888e+003
4.030000000000003e-001	4.681801e+003
4.040000000000003e-001	4.684035e+003
4.050000000000003e-001	4.685951e+003
4.060000000000003e-001	4.687869e+003
4.070000000000003e-001	4.689469e+003
4.080000000000003e-001	4.691390e+003
4.090000000000003e-001	4.693633e+003
4.100000000000003e-001	4.695236e+003
4.110000000000003e-001	4.696841e+003
4.120000000000003e-001	4.698768e+003
4.130000000000003e-001	4.700696e+003
4.140000000000003e-001	4.702304e+003
4.150000000000003e-001	4.703914e+003
4.160000000000003e-001	4.705847e+003
4.170000000000003e-001	4.707458e+003
4.180000000000003e-001	4.708749e+003
4.190000000000003e-001	4.710362e+003
4.200000000000003e-001	4.712300e+003
4.210000000000003e-001	4.713917e+003
4.220000000000003e-001	4.715534e+003
4.230000000000003e-001	4.717152e+003
4.240000000000003e-001	4.718448e+003
4.250000000000003e-001	4.719744e+003
4.260000000000003e-001	4.721366e+003
4.270000000000003e-001	4.722988e+003
4.280000000000003e-001	4.724612e+003
4.290000000000003e-001	4.725911e+003
4.300000000000003e-001	4.727212e+003
4.310000000000003e-001	4.728838e+003
4.320000000000003e-001	4.730140e+003
4.330000000000003e-001	4.731443e+003
4.340000000000003e-001	4.732746e+003
4.350000000000003e-001	4.734050e+003
4.360000000000003e-001	4.735355e+003
4.370000000000003e-001	4.736987e+003
4.380000000000003e-001	4.738294e+003
4.390000000000003e-001	4.739274e+003
4.400000000000003e-001	4.740582e+003
4.410000000000003e-001	4.741890e+003
4.420000000000003e-001	4.743200e+003
4.430000000000003e-001	4.744510e+003
4.440000000000003e-001	4.745820e+003
4.450000000000003e-001	4.746804e+003
4.460000000000003e-001	4.747788e+003
4.470000000000003e-001	4.749100e+003
4.480000000000003e-001	4.750413e+003
4.490000000000003e-001	4.751727e+003
4.500000000000003e-001	4.752713e+003
4.510000000000004e-001	4.753699e+003
4.520000000000004e-001	4.755015e+003
4.530000000000004e-001	4.756002e+003
4.540000000000004e-001	4.756990e+003
4.550000000000004e-001	4.758307e+003
4.560000000000004e-001	4.759296e+003
4.570000000000004e-001	4.760285e+003
4.580000000000004e-001	4.761275e+003
4.590000000000004e-001	4.762265e+003
4.600000000000004e-001	4.763585e+003
4.610000000000004e-001	4.764576e+003
4.620000000000004e-001	4.765567e+003
4.630000000000004e-001	4.766559e+003
4.640000000000004e-001	4.767220e+003
4.650000000000004e-001	4.768212e+003
4.660000000000004e-001	4.769536e+003
4.670000000000004e-001	4.770529e+003
4.680000000000004e-001	4.771192e+003
4.690000000000004e-001	4.772186e+003
4.700000000000004e-001	4.773180e+003
4.710000000000004e-001	4.774175e+003
4.720000000000004e-001	4.774839e+003
4.730000000000004e-001	4.775834e+003
4.740000000000004e-001	4.776830e+003
4.750000000000004e-001	4.777494e+003
4.760000000000004e-001	4.778491e+003
4.770000000000004e-001	4.779488e+003
4.780000000000004e-001	4.780485e+003
4.790000000000004e-001	4.781151e+003
4.800000000000004e-001	4.781816e+003
4.810000000000004e-001	4.782814e+003
4.820000000000004e-001	4.783813e+003
4.830000000000004e-001	4.784479e+003
4.840000000000004e-001	4.785146e+003
4.850000000000004e-001	4.786145e+003
4.860000000000004e-001	4.786812e+003
4.870000000000004e-001	4.787479e+003
4.880000000000004e-001	4.788480e+003
4.890000000000004e-001	4.789147e+003
4.900000000000004e-001	4.789815e+003
4.910000000000004e-001	4.790817e+003
4.920000000000004e-001	4.791819e+003
4.930000000000004e-001	4.792153e+003
4.940000000000004e-001	4.792822e+003
4.950000000000004e-001	4.793825e+003
4.960000000000004e-001	4.794494e+003
4.970000000000004e-001	4.795163e+003
4.980000000000004e-001	4.795832e+003
4.990000000000004e-001	4.796501e+003
5.000000000000003e-001	4.797171e+003
5.010000000000003e-001	4.797841e+003
5.020000000000003e-001	4.798846e+003
5.030000000000003e-001	4.799516e+003
5.040000000000003e-001	4.799852e+003
5.050000000000003e-001	4.800858e+003
5.060000000000003e-001	4.801529e+003
5.070000000000003e-001	4.801864e+003
5.080000000000003e-001	4.802535e+003
5.090000000000003e-001	4.803207e+003
5.100000000000003e-001	4.804214e+003
5.110000000000003e-001	4.804886e+003
5.120000000000003e-001	4.805222e+003
5.130000000000003e-001	4.805894e+003
5.140000000000004e-001	4.806230e+003
5.150000000000004e-001	4.806902e+003
5.160000000000004e-001	4.807911e+003
5.170000000000004e-001	4.808248e+003
5.180000000000004e-001	4.808921e+003
5.190000000000004e-001	4.809594e+003
5.200000000000004e-001	4.809930e+003
5.210000000000004e-001	4.810604e+003
5.220000000000004e-001	4.811278e+003
5.230000000000004e-001	4.811951e+003
5.240000000000004e-001	4.812625e+003
5.250000000000004e-001	4.812962e+003
5.260000000000004e-001	4.813637e+003
5.270000000000004e-001	4.814311e+003
5.280000000000004e-001	4.814648e+003
5.290000000000004e-001	4.815323e+003
5.300000000000004e-001	4.815661e+003
5.310000000000004e-001	4.816336e+003
5.320000000000004e-001	4.817011e+003
5.330000000000004e-001	4.817349e+003
5.340000000000004e-001	4.817686e+003
5.350000000000004e-001	4.818362e+003
5.360000000000004e-001	4.819038e+003
5.370000000000004e-001	4.819376e+003
5.380000000000004e-001	4.820052e+003
5.390000000000004e-001	4.820728e+003
5.400000000000004e-001	4.821066e+003
5.410000000000004e-001	4.821404e+003
5.420000000000004e-001	4.822081e+003
5.430000000000004e-001	4.822419e+003
5.440000000000004e-001	4.822758e+003
5.450000000000004e-001	4.823435e+003
5.460000000000004e-001	4.824112e+003
5.470000000000004e-001	4.824451e+003
5.480000000000004e-001	4.824789e+003
5.490000000000004e-001	4.825467e+003
5.500000000000004e-001	4.825806e+003
5.510000000000004e-001	4.826145e+003
5.520000000000004e-001	4.826823e+003
5.530000000000004e-001	4.827162e+003
5.540000000000004e-001	4.827501e+003
5.550000000000004e-001	4.828179e+003
5.560000000000004e-001	4.828858e+003
5.570000000000004e-001	4.829197e+003
5.580000000000004e-001	4.829197e+003
5.590000000000004e-001	4.829876e+003
