vds	d(Id(M1))/Id(M1)
9.200000000000007e-002	9.388925e+000
9.300000000000007e-002	9.270576e+000
9.400000000000007e-002	9.154637e+000
9.500000000000007e-002	9.041083e+000
9.600000000000007e-002	8.929937e+000
9.700000000000007e-002	8.821025e+000
9.800000000000007e-002	8.714233e+000
9.900000000000007e-002	8.609640e+000
1.000000000000001e-001	8.507082e+000
1.010000000000001e-001	8.406502e+000
1.020000000000001e-001	8.307887e+000
1.030000000000001e-001	8.211133e+000
1.040000000000001e-001	8.116233e+000
1.050000000000001e-001	8.023087e+000
1.060000000000001e-001	7.931691e+000
1.070000000000001e-001	7.841952e+000
1.080000000000001e-001	7.753777e+000
1.090000000000001e-001	7.667259e+000
1.100000000000001e-001	7.582306e+000
1.110000000000001e-001	7.498788e+000
1.120000000000001e-001	7.416756e+000
1.130000000000001e-001	7.336124e+000
1.140000000000001e-001	7.256901e+000
1.150000000000001e-001	7.179047e+000
1.160000000000001e-001	7.102445e+000
1.170000000000001e-001	7.027145e+000
1.180000000000001e-001	6.953113e+000
1.190000000000001e-001	6.880277e+000
1.200000000000001e-001	6.808607e+000
1.210000000000001e-001	6.738115e+000
1.220000000000001e-001	6.668730e+000
1.230000000000001e-001	6.600466e+000
1.240000000000001e-001	6.533255e+000
1.250000000000001e-001	6.467074e+000
1.260000000000001e-001	6.401974e+000
1.270000000000001e-001	6.337814e+000
1.280000000000001e-001	6.274610e+000
1.290000000000001e-001	6.212379e+000
1.300000000000001e-001	6.151098e+000
1.310000000000001e-001	6.090706e+000
1.320000000000001e-001	6.031222e+000
1.330000000000001e-001	5.972587e+000
1.340000000000001e-001	5.914783e+000
1.350000000000001e-001	5.857827e+000
1.360000000000001e-001	5.801627e+000
1.370000000000001e-001	5.746277e+000
1.380000000000001e-001	5.691721e+000
1.390000000000001e-001	5.637870e+000
1.400000000000001e-001	5.584744e+000
1.410000000000001e-001	5.532401e+000
1.420000000000001e-001	5.480750e+000
1.430000000000001e-001	5.429780e+000
1.440000000000001e-001	5.379509e+000
1.450000000000001e-001	5.329853e+000
1.460000000000001e-001	5.280905e+000
1.470000000000001e-001	5.232580e+000
1.480000000000001e-001	5.184866e+000
1.490000000000001e-001	5.137784e+000
1.500000000000001e-001	5.091288e+000
1.510000000000001e-001	5.045366e+000
1.520000000000001e-001	5.000040e+000
1.530000000000001e-001	4.955298e+000
1.540000000000001e-001	4.911097e+000
1.550000000000001e-001	4.867457e+000
1.560000000000001e-001	4.824302e+000
1.570000000000001e-001	4.781690e+000
1.580000000000001e-001	4.739608e+000
1.590000000000001e-001	4.698015e+000
1.600000000000001e-001	4.656934e+000
1.610000000000001e-001	4.616322e+000
1.620000000000001e-001	4.576172e+000
1.630000000000001e-001	4.536473e+000
1.640000000000001e-001	4.497283e+000
1.650000000000001e-001	4.458528e+000
1.660000000000001e-001	4.420167e+000
